ID_HECHO,CANT_VICTIMAS,FECHA_SINIESTRO,AÑO_S,MES_S,DIA_S,HORA,TIPO_DE_CALLE,NOMBRE_CALLE_AV,COMUNA,VEH_INVOLUCRADOS,VEH_AFECTADO,VEH_ACUSADO,FECHA_FALLECIMIENTO,AÑO_F,MES_F,DIA_F,ROL,VEH_FALLECIDO,SEXO,EDAD
2021-0008,1,2021-01-22,2021,1,22,23,AVENIDA,SAENZ AV.,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-01-22 00:00:00,2021,1,22,PEATON,PEATON,MASCULINO,28
2021-0009,1,2021-01-23,2021,1,23,5,AVENIDA,PAYSANDU,6,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-01-23 00:00:00,2021,1,23,CONDUCTOR,MOTO,MASCULINO,31
2021-0010,1,2021-01-23,2021,1,23,8,GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-AUTO,MOTO,AUTO,2021-01-23 00:00:00,2021,1,23,CONDUCTOR,MOTO,MASCULINO,28
2021-0011,1,2021-01-27,2021,1,27,1,AVENIDA,SANTA FE AV.,2,PEATON-AUTO,PEATON,AUTO,2021-01-27 00:00:00,2021,1,27,PEATON,PEATON,MASCULINO,21
2021-0012,1,2021-01-29,2021,1,29,20,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",8,PEATON-AUTO,PEATON,AUTO,2021-01-29 00:00:00,2021,1,29,PEATON,PEATON,MASCULINO,SD
2021-0013,1,2021-01-31,2021,1,31,6,AVENIDA,"FALCON, RAMON L.,CNEL.",10,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-01-31 00:00:00,2021,1,31,CONDUCTOR,MOTO,MASCULINO,41
2021-0014,1,2021-02-02,2021,2,2,0,AVENIDA,SAN MARTIN AV.,15,PEATON-AUTO,PEATON,AUTO,2021-02-18 00:00:00,2021,2,2,PEATON,PEATON,MASCULINO,28
2021-0015,1,2021-02-06,2021,2,6,3,AVENIDA,SAN MARTIN AV.,15,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-02-06 00:00:00,2021,2,6,CONDUCTOR,MOTO,MASCULINO,26
2021-0016,1,2021-02-14,2021,2,14,5,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-02-14 00:00:00,2021,2,14,CONDUCTOR,AUTO,MASCULINO,22
2021-0017,1,2021-02-17,2021,2,17,4,AVENIDA,SALTA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2021-02-17 00:00:00,2021,2,17,CONDUCTOR,MOTO,MASCULINO,33
2021-0018,1,2021-02-20,2021,2,20,19,CALLE,"JAURES, JEAN",3,PEATON-AUTO,PEATON,AUTO,2021-03-08 00:00:00,2021,2,20,PEATON,PEATON,MASCULINO,36
2021-0019,1,2021-02-21,2021,2,21,1,AVENIDA,TRIUNVIRATO AV.,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-02-21 00:00:00,2021,2,21,CONDUCTOR,MOTO,MASCULINO,30
2021-0020,1,2021-02-21,2021,2,21,15,CALLE,POTOSI,5,PEATON-CARGAS,PEATON,CARGAS,2021-02-21 00:00:00,2021,2,21,PEATON,PEATON,FEMENINO,SD
2021-0021,1,2021-02-26,2021,2,26,5,CALLE,"YRIGOYEN, HIPOLITO",3,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-03-04 00:00:00,2021,2,26,CONDUCTOR,MOTO,MASCULINO,39
2021-0022,1,2021-02-28,2021,2,28,12,AVENIDA,DEL LIBERTADOR AV.,13,PASAJEROS-SD,PASAJEROS,SD,2021-03-06 00:00:00,2021,2,28,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,68
2021-0023,1,2021-03-01,2021,3,1,9,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,4,MOTO-CARGAS,MOTO,CARGAS,2021-03-01 00:00:00,2021,3,1,CONDUCTOR,MOTO,MASCULINO,24
2021-0024,1,2021-03-03,2021,3,3,16,AVENIDA,"PERON, EVA AV.",9,BICICLETA-CARGAS,BICICLETA,CARGAS,2021-03-03 00:00:00,2021,3,3,CICLISTA,BICICLETA,MASCULINO,5
2021-0025,1,2021-03-11,2021,3,11,3,GRAL PAZ,"PAZ, GRAL. AV.",8,MOTO-OTRO,MOTO,OTRO,2021-03-11 00:00:00,2021,3,11,CONDUCTOR,MOTO,MASCULINO,37
2021-0026,1,2021-03-15,2021,3,15,2,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-03-15 00:00:00,2021,3,15,CONDUCTOR,MOTO,MASCULINO,36
2021-0027,1,2021-03-16,2021,3,16,15,GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-CARGAS,MOTO,CARGAS,2021-03-16 00:00:00,2021,3,16,CONDUCTOR,MOTO,FEMENINO,19
2021-0028,1,2021-03-29,2021,3,29,17,AVENIDA,COREA AV.,7,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-03-29 00:00:00,2021,3,29,PEATON,PEATON,MASCULINO,SD
2021-0029,1,2021-03-31,2021,3,31,18,AVENIDA,"FALCON, RAMON L.,CNEL.",7,AUTO-AUTO,AUTO,AUTO,2021-04-02 00:00:00,2021,3,31,CONDUCTOR,AUTO,MASCULINO,26
2021-0030,1,2021-04-03,2021,4,3,18,CALLE,FINOCHIETTO ENRIQUE DR.,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-04-07 00:00:00,2021,4,3,PEATON,PEATON,MASCULINO,36
2021-0031,1,2021-04-07,2021,4,7,10,AVENIDA,9 DE JULIO AV.,1,PEATON-CARGAS,PEATON,CARGAS,2021-04-11 00:00:00,2021,4,7,PEATON,PEATON,FEMENINO,68
2021-0032,1,2021-04-10,2021,4,10,19,AUTOPISTA,"CANTILO, INT.",13,PEATON-MOTO,PEATON,MOTO,2021-04-29 00:00:00,2021,4,10,PEATON,PEATON,MASCULINO,60
2021-0033,1,2021-04-14,2021,4,14,17,AUTOPISTA,AUTOPISTA 25 DE MAYO,5,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-04-14 00:00:00,2021,4,14,CONDUCTOR,AUTO,MASCULINO,33
2021-0034,1,2021-04-19,2021,4,19,14,AVENIDA,"ALCORTA, AMANCIO AV.",4,MOTO-CARGAS,MOTO,CARGAS,2021-04-19 00:00:00,2021,4,19,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26
2021-0035,1,2021-05-03,2021,5,3,9,AVENIDA,"JANER, ANA MARIA",8,MOTO-CARGAS,MOTO,CARGAS,2021-05-03 00:00:00,2021,5,3,CONDUCTOR,MOTO,MASCULINO,24
2021-0036,1,2021-05-09,2021,5,9,6,GRAL PAZ,"PAZ, GRAL. AV.",11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-05-09 00:00:00,2021,5,9,CONDUCTOR,MOTO,MASCULINO,36
